,trade_id,product_id,price,size,time,side,exchange,bid,ask
8995,590186860,ETH-USD,3465.36,0.00031735,2025-01-02 16:15:13.870425+00:00,SELL,,,
8996,590186819,ETH-USD,3465.5,0.12905001,2025-01-02 16:14:58.228557+00:00,SELL,,,
8997,590186782,ETH-USD,3466.37,0.00139184,2025-01-02 16:14:43.646917+00:00,SELL,,,
8998,590186639,ETH-USD,3466.77,0.30790773,2025-01-02 16:14:28.026848+00:00,BUY,,,
8999,590186597,ETH-USD,3464.62,0.00725504,2025-01-02 16:14:13.827773+00:00,BUY,,,
9000,590186547,ETH-USD,3462.28,0.10731698,2025-01-02 16:13:57.332378+00:00,SELL,,,
9001,590186517,ETH-USD,3460.82,0.00013675,2025-01-02 16:13:42.439315+00:00,BUY,,,
9002,590186503,ETH-USD,3460.54,0.05721817,2025-01-02 16:13:27.617479+00:00,SELL,,,
9003,590186468,ETH-USD,3460.43,0.00614413,2025-01-02 16:13:12.586260+00:00,SELL,,,
9004,590186424,ETH-USD,3460.44,0.00043468,2025-01-02 16:12:56.582262+00:00,SELL,,,
9005,590186377,ETH-USD,3459.38,0.38868635,2025-01-02 16:12:41.626325+00:00,BUY,,,
9006,590186322,ETH-USD,3460.86,0.00701221,2025-01-02 16:12:26.497184+00:00,SELL,,,
9007,590186267,ETH-USD,3459.9,0.00063624,2025-01-02 16:12:11.977636+00:00,BUY,,,
9008,590186227,ETH-USD,3458.39,0.03430771,2025-01-02 16:11:56.917459+00:00,SELL,,,
9009,590186167,ETH-USD,3455.82,0.00234387,2025-01-02 16:11:40.087826+00:00,BUY,,,
9010,590186115,ETH-USD,3455.59,0.0005291,2025-01-02 16:11:25.245827+00:00,SELL,,,
9011,590186055,ETH-USD,3453.81,0.5654,2025-01-02 16:11:10.836287+00:00,BUY,,,
9012,590186011,ETH-USD,3453.2,0.00143704,2025-01-02 16:10:55.879684+00:00,BUY,,,
9013,590185972,ETH-USD,3453.36,0.01,2025-01-02 16:10:40.699059+00:00,BUY,,,
9014,590185864,ETH-USD,3453.05,0.02744788,2025-01-02 16:10:25.551639+00:00,SELL,,,
9015,590185827,ETH-USD,3453.94,0.49924293,2025-01-02 16:10:10.441910+00:00,SELL,,,
9016,590185754,ETH-USD,3455.7,0.00090978,2025-01-02 16:09:55.545394+00:00,BUY,,,
9017,590185714,ETH-USD,3455.51,0.0511,2025-01-02 16:09:40.874435+00:00,SELL,,,
9018,590185676,ETH-USD,3455.96,0.11,2025-01-02 16:09:25.673197+00:00,BUY,,,
9019,590185619,ETH-USD,3454.88,0.01,2025-01-02 16:09:08.848688+00:00,BUY,,,
9020,590185538,ETH-USD,3453.72,0.00053566,2025-01-02 16:08:53.897227+00:00,BUY,,,
9021,590185487,ETH-USD,3455.01,0.76195307,2025-01-02 16:08:38.872467+00:00,SELL,,,
9022,590185441,ETH-USD,3454.26,0.00802804,2025-01-02 16:08:23.894059+00:00,SELL,,,
9023,590185401,ETH-USD,3454.49,0.00724749,2025-01-02 16:08:08.787284+00:00,BUY,,,
9024,590185327,ETH-USD,3452.0,0.00286758,2025-01-02 16:07:53.607439+00:00,SELL,,,
9025,590185260,ETH-USD,3452.13,0.00078649,2025-01-02 16:07:38.834333+00:00,SELL,,,
9026,590185204,ETH-USD,3450.33,0.00057942,2025-01-02 16:07:22.777926+00:00,BUY,,,
9027,590185119,ETH-USD,3452.56,0.00097162,2025-01-02 16:07:07.125234+00:00,SELL,,,
9028,590185070,ETH-USD,3451.24,0.17223,2025-01-02 16:06:52.698198+00:00,SELL,,,
9029,590185010,ETH-USD,3453.6,0.00033101,2025-01-02 16:06:37.724225+00:00,BUY,,,
9030,590184933,ETH-USD,3451.14,0.00002672,2025-01-02 16:06:22.927444+00:00,BUY,,,
9031,590184887,ETH-USD,3449.25,0.00073187,2025-01-02 16:06:07.711767+00:00,BUY,,,
9032,386683093,ETH-USD,3449.6,0.005,2025-01-02 16:05:52.965000+00:00,SELL,,,
9033,590184789,ETH-USD,3449.59,0.00144923,2025-01-02 16:05:37.993924+00:00,BUY,,,
9034,590184721,ETH-USD,3448.79,0.10943348,2025-01-02 16:05:22.648231+00:00,BUY,,,
9035,590184675,ETH-USD,3448.37,0.00289992,2025-01-02 16:05:07.963480+00:00,BUY,,,
9036,590184627,ETH-USD,3448.56,0.00266015,2025-01-02 16:04:52.991205+00:00,SELL,,,
9037,590184566,ETH-USD,3446.64,1.301,2025-01-02 16:04:37.735275+00:00,SELL,,,
9038,590184523,ETH-USD,3447.25,0.00167406,2025-01-02 16:04:22.608219+00:00,BUY,,,
9039,590184296,ETH-USD,3448.82,0.01,2025-01-02 16:04:07.744207+00:00,BUY,,,
9040,590184239,ETH-USD,3448.29,0.01,2025-01-02 16:03:52.349097+00:00,SELL,,,
9041,590184183,ETH-USD,3449.55,0.00027251,2025-01-02 16:03:37.310813+00:00,SELL,,,
9042,590184118,ETH-USD,3451.33,0.40809142,2025-01-02 16:03:22.559072+00:00,BUY,,,
9043,590183995,ETH-USD,3453.98,0.00038452,2025-01-02 16:03:07.840349+00:00,SELL,,,
9044,590183907,ETH-USD,3455.42,0.00146369,2025-01-02 16:02:52.442479+00:00,SELL,,,
9045,590183851,ETH-USD,3457.21,0.1370412,2025-01-02 16:02:37.661458+00:00,SELL,,,
9046,590183778,ETH-USD,3459.79,7.219,2025-01-02 16:02:22.876637+00:00,BUY,,,
9047,590183727,ETH-USD,3460.52,0.00028898,2025-01-02 16:02:07.958606+00:00,SELL,,,
9048,590183658,ETH-USD,3459.67,0.00071406,2025-01-02 16:01:52.832053+00:00,BUY,,,
9049,590183624,ETH-USD,3461.17,0.00028886,2025-01-02 16:01:37.649510+00:00,SELL,,,
9050,590183585,ETH-USD,3461.75,0.0061999,2025-01-02 16:01:22.480591+00:00,BUY,,,
9051,590183518,ETH-USD,3459.43,0.00300717,2025-01-02 16:01:07.350608+00:00,BUY,,,
9052,590183398,ETH-USD,3461.6,0.00280124,2025-01-02 16:00:52.639836+00:00,BUY,,,
9053,590183360,ETH-USD,3461.73,0.26793599,2025-01-02 16:00:37.979983+00:00,SELL,,,
