,trade_id,product_id,price,size,time,side,bid,ask,exchange
19973,594830791,ETH-USD,3315.22,0.00009954,2025-01-16 15:33:01.933421+00:00,BUY,,,
19974,594830698,ETH-USD,3316.35,0.00316896,2025-01-16 15:32:46.920162+00:00,BUY,,,
19975,594830591,ETH-USD,3316.56,0.23619092,2025-01-16 15:32:31.818545+00:00,SELL,,,
19976,594830471,ETH-USD,3316.07,0.00316923,2025-01-16 15:32:16.666031+00:00,BUY,,,
19977,594830315,ETH-USD,3313.48,0.0000233,2025-01-16 15:32:01.941952+00:00,SELL,,,
19978,594830135,ETH-USD,3310.31,0.02133092,2025-01-16 15:31:46.741582+00:00,SELL,,,
19979,594830019,ETH-USD,3311.48,0.25899874,2025-01-16 15:31:31.976399+00:00,BUY,,,
19980,594829865,ETH-USD,3314.87,0.45108847,2025-01-16 15:31:16.944090+00:00,BUY,,,
19981,594829704,ETH-USD,3320.41,0.10478805,2025-01-16 15:31:01.703762+00:00,BUY,,,
19982,594829601,ETH-USD,3319.55,0.01,2025-01-16 15:30:45.435199+00:00,BUY,,,
19983,594829422,ETH-USD,3320.74,0.00702617,2025-01-16 15:30:30.614629+00:00,SELL,,,
19984,594829204,ETH-USD,3314.79,0.00841397,2025-01-16 15:30:15.962566+00:00,SELL,,,
19985,594829090,ETH-USD,3314.8,0.7687896,2025-01-16 15:30:00.899080+00:00,BUY,,,
19986,594828929,ETH-USD,3314.97,0.24410289,2025-01-16 15:29:44.701383+00:00,BUY,,,
19987,594828630,ETH-USD,3312.52,0.002,2025-01-16 15:29:29.960851+00:00,SELL,,,
19988,594828558,ETH-USD,3313.12,0.00046129,2025-01-16 15:29:14.971218+00:00,SELL,,,
19989,594828458,ETH-USD,3312.5,0.02558571,2025-01-16 15:28:59.996507+00:00,SELL,,,
19990,594828388,ETH-USD,3312.2,0.00001801,2025-01-16 15:28:44.413051+00:00,BUY,,,
19991,594828287,ETH-USD,3311.3,0.001,2025-01-16 15:28:29.860444+00:00,SELL,,,
19992,594828105,ETH-USD,3313.16,0.00168311,2025-01-16 15:28:14.375526+00:00,SELL,,,
19993,594828007,ETH-USD,3310.73,0.00044356,2025-01-16 15:27:59.229501+00:00,SELL,,,
19994,594827931,ETH-USD,3309.03,0.00271638,2025-01-16 15:27:44.788206+00:00,SELL,,,
19995,594827836,ETH-USD,3309.71,0.28041779,2025-01-16 15:27:29.966109+00:00,BUY,,,
19996,594827624,ETH-USD,3308.17,1.51140703,2025-01-16 15:27:14.997311+00:00,BUY,,,
19997,594827447,ETH-USD,3310.84,0.01,2025-01-16 15:26:59.760807+00:00,BUY,,,
19998,594827276,ETH-USD,3307.2,0.00120597,2025-01-16 15:26:44.285291+00:00,SELL,,,
19999,594827187,ETH-USD,3308.78,0.00058719,2025-01-16 15:26:29.903362+00:00,BUY,,,
20000,594827057,ETH-USD,3311.24,0.00159478,2025-01-16 15:26:14.903591+00:00,SELL,,,
20001,594826875,ETH-USD,3308.25,0.00315469,2025-01-16 15:25:59.040135+00:00,BUY,,,
20002,594826775,ETH-USD,3306.23,0.46816001,2025-01-16 15:25:44.875726+00:00,SELL,,,
20003,594826639,ETH-USD,3306.6,0.12453,2025-01-16 15:25:29.961578+00:00,BUY,,,
20004,594826490,ETH-USD,3306.7,0.05460426,2025-01-16 15:25:14.995172+00:00,BUY,,,
20005,594826321,ETH-USD,3306.57,0.66416001,2025-01-16 15:24:59.720813+00:00,SELL,,,
20006,594826227,ETH-USD,3305.72,0.0590677,2025-01-16 15:24:44.343740+00:00,SELL,,,
20007,594826073,ETH-USD,3303.21,0.009,2025-01-16 15:24:29.845490+00:00,SELL,,,
20008,594825965,ETH-USD,3301.82,0.00040322,2025-01-16 15:24:14.582518+00:00,BUY,,,
20009,594825800,ETH-USD,3299.57,0.00361781,2025-01-16 15:23:59.966958+00:00,SELL,,,
20010,594825695,ETH-USD,3298.79,0.01438887,2025-01-16 15:23:44.131285+00:00,SELL,,,
20011,594825574,ETH-USD,3296.17,0.00102379,2025-01-16 15:23:29.958938+00:00,SELL,,,
20012,594825411,ETH-USD,3297.28,0.0015941,2025-01-16 15:23:14.611399+00:00,SELL,,,
20013,594825305,ETH-USD,3297.84,0.01238546,2025-01-16 15:22:59.408919+00:00,SELL,,,
20014,594825241,ETH-USD,3299.79,0.02136318,2025-01-16 15:22:44.921792+00:00,SELL,,,
20015,594825127,ETH-USD,3303.18,0.00065426,2025-01-16 15:22:29.850921+00:00,SELL,,,
20016,594825001,ETH-USD,3303.87,0.00001203,2025-01-16 15:22:14.893268+00:00,SELL,,,
20017,389975318,ETH-USD,3300.0,0.01017858,2025-01-16 15:21:59.726000+00:00,SELL,,,
20018,389975249,ETH-USD,3298.5,0.9131,2025-01-16 15:21:44.989000+00:00,SELL,,,
20019,594824583,ETH-USD,3298.87,0.006,2025-01-16 15:21:29.841306+00:00,BUY,,,
20020,594824339,ETH-USD,3294.14,0.01,2025-01-16 15:21:14.702001+00:00,BUY,,,
20021,594824210,ETH-USD,3295.73,0.00316752,2025-01-16 15:20:59.876133+00:00,BUY,,,
20022,594824089,ETH-USD,3296.06,0.0083,2025-01-16 15:20:44.800313+00:00,SELL,,,
20023,594823879,ETH-USD,3294.47,0.001,2025-01-16 15:20:29.550199+00:00,SELL,,,
20024,389974492,ETH-USD,3294.0,0.00370552,2025-01-16 15:20:14.951000+00:00,BUY,,,
20025,594823650,ETH-USD,3294.32,0.0084257,2025-01-16 15:19:59.629948+00:00,SELL,,,
20026,594823513,ETH-USD,3292.49,0.00003572,2025-01-16 15:19:44.744268+00:00,SELL,,,
20027,594823372,ETH-USD,3291.03,0.00078081,2025-01-16 15:19:29.858188+00:00,BUY,,,
20028,594823236,ETH-USD,3294.47,0.00072674,2025-01-16 15:19:14.511396+00:00,SELL,,,
20029,594823106,ETH-USD,3293.33,0.00316983,2025-01-16 15:18:59.405889+00:00,BUY,,,
20030,389973792,ETH-USD,3291.6,0.00453415,2025-01-16 15:18:44.895000+00:00,BUY,,,
20031,594822841,ETH-USD,3290.97,0.00016408,2025-01-16 15:18:29.775648+00:00,BUY,,,
20032,594822744,ETH-USD,3290.93,0.22285164,2025-01-16 15:18:14.992179+00:00,BUY,,,
20033,594822596,ETH-USD,3287.27,0.00054262,2025-01-16 15:17:59.061025+00:00,SELL,,,
20034,594822519,ETH-USD,3288.0,0.00029792,2025-01-16 15:17:44.940171+00:00,BUY,,,
20035,594822423,ETH-USD,3289.1,0.01,2025-01-16 15:17:29.911280+00:00,BUY,,,
20036,594822331,ETH-USD,3289.27,0.00077157,2025-01-16 15:17:14.983852+00:00,SELL,,,
20037,594822165,ETH-USD,3285.9,0.00064129,2025-01-16 15:16:59.921308+00:00,SELL,,,
20038,594822029,ETH-USD,3283.29,0.1,2025-01-16 15:16:44.794292+00:00,SELL,,,
20039,594821871,ETH-USD,3285.42,0.00748838,2025-01-16 15:16:29.267755+00:00,SELL,,,
20040,594821736,ETH-USD,3284.36,0.0000207,2025-01-16 15:16:14.980805+00:00,SELL,,,
20041,594821611,ETH-USD,3286.43,0.01250154,2025-01-16 15:15:59.730023+00:00,SELL,,,
20042,594821518,ETH-USD,3285.82,0.01,2025-01-16 15:15:44.540976+00:00,SELL,,,
20043,594821363,ETH-USD,3283.39,0.001,2025-01-16 15:15:29.869493+00:00,SELL,,,
20044,594821193,ETH-USD,3280.58,0.00288113,2025-01-16 15:15:14.866250+00:00,BUY,,,
20045,594821041,ETH-USD,3279.62,0.16634427,2025-01-16 15:14:59.694578+00:00,BUY,,,
20046,594820916,ETH-USD,3278.73,0.00185318,2025-01-16 15:14:44.727802+00:00,BUY,,,
20047,594820793,ETH-USD,3275.92,0.01,2025-01-16 15:14:29.945014+00:00,BUY,,,
20048,594820666,ETH-USD,3280.53,0.00315088,2025-01-16 15:14:14.704300+00:00,SELL,,,
20049,594820486,ETH-USD,3283.5,0.00030454,2025-01-16 15:13:59.454031+00:00,SELL,,,
20050,594820381,ETH-USD,3283.46,0.01,2025-01-16 15:13:43.797953+00:00,BUY,,,
20051,594820227,ETH-USD,3281.45,0.00003655,2025-01-16 15:13:28.459485+00:00,SELL,,,
20052,594820070,ETH-USD,3284.0,0.0004097,2025-01-16 15:13:13.879044+00:00,SELL,,,
20053,594819917,ETH-USD,3283.7,0.00008268,2025-01-16 15:12:58.961889+00:00,SELL,,,
20054,594819729,ETH-USD,3284.0,0.00785868,2025-01-16 15:12:43.945442+00:00,SELL,,,
20055,594819578,ETH-USD,3286.82,0.0000066,2025-01-16 15:12:28.741929+00:00,SELL,,,
20056,594819398,ETH-USD,3288.49,0.00000772,2025-01-16 15:12:13.912324+00:00,SELL,,,
20057,594819207,ETH-USD,3292.97,0.00048305,2025-01-16 15:11:58.986758+00:00,BUY,,,
20058,594819028,ETH-USD,3299.14,0.01,2025-01-16 15:11:43.505010+00:00,BUY,,,
20059,594818873,ETH-USD,3295.38,1.51727661,2025-01-16 15:11:28.547199+00:00,SELL,,,
20060,594818792,ETH-USD,3297.8,0.01,2025-01-16 15:11:13.483945+00:00,BUY,,,
20061,594818594,ETH-USD,3291.58,0.01442783,2025-01-16 15:10:58.670919+00:00,SELL,,,
20062,594818394,ETH-USD,3291.99,0.00750562,2025-01-16 15:10:43.673413+00:00,SELL,,,
20063,594818305,ETH-USD,3297.22,0.001,2025-01-16 15:10:28.890376+00:00,SELL,,,
20064,594818120,ETH-USD,3291.34,0.01,2025-01-16 15:10:13.971111+00:00,SELL,,,
20065,594818010,ETH-USD,3291.85,0.00450022,2025-01-16 15:09:58.834687+00:00,SELL,,,
20066,594817891,ETH-USD,3293.64,0.54684422,2025-01-16 15:09:43.699951+00:00,BUY,,,
20067,594817744,ETH-USD,3292.74,0.018599,2025-01-16 15:09:28.592405+00:00,BUY,,,
20068,389969126,ETH-USD,3289.4,0.01517266,2025-01-16 15:09:13.987000+00:00,SELL,,,
20069,594817342,ETH-USD,3284.8,0.01,2025-01-16 15:08:58.804045+00:00,SELL,,,
20070,594817235,ETH-USD,3286.63,0.00005422,2025-01-16 15:08:43.703675+00:00,SELL,,,
20071,594817104,ETH-USD,3289.0,0.00263902,2025-01-16 15:08:28.855137+00:00,SELL,,,
20072,594816948,ETH-USD,3287.89,1.824,2025-01-16 15:08:13.855702+00:00,BUY,,,
20073,594816810,ETH-USD,3289.01,0.26916368,2025-01-16 15:07:58.897886+00:00,SELL,,,
20074,594816671,ETH-USD,3289.05,0.50456001,2025-01-16 15:07:43.892540+00:00,SELL,,,
20075,594816452,ETH-USD,3285.43,0.00078616,2025-01-16 15:07:28.930008+00:00,SELL,,,
20076,389968234,ETH-USD,3281.8,0.04796,2025-01-16 15:07:13.659000+00:00,SELL,,,
20077,594816146,ETH-USD,3284.16,0.14156372,2025-01-16 15:06:58.847516+00:00,SELL,,,
20078,594815945,ETH-USD,3281.61,0.01184946,2025-01-16 15:06:43.524230+00:00,BUY,,,
20079,594815686,ETH-USD,3279.05,0.00044355,2025-01-16 15:06:28.864480+00:00,SELL,,,
20080,594815525,ETH-USD,3276.26,0.0031215,2025-01-16 15:06:13.962226+00:00,SELL,,,
20081,594815350,ETH-USD,3278.39,0.00065175,2025-01-16 15:05:58.960090+00:00,BUY,,,
20082,594815145,ETH-USD,3269.22,0.00098458,2025-01-16 15:05:43.827281+00:00,BUY,,,
