,trade_id,product_id,price,size,time,side,exchange,bid,ask,trades,best_bid,best_ask
7790,580430858,ETH-USD,3632.74,0.0076331,2024-12-10 19:58:09.730830+00:00,SELL,,,,,,
7791,580430791,ETH-USD,3632.15,0.2441118,2024-12-10 19:57:54.317631+00:00,SELL,,,,,,
7792,580430722,ETH-USD,3632.36,0.02813477,2024-12-10 19:57:39.514967+00:00,SELL,,,,,,
7793,580430621,ETH-USD,3632.58,0.005,2024-12-10 19:57:24.915245+00:00,SELL,,,,,,
7794,580430519,ETH-USD,3631.39,0.0010035,2024-12-10 19:57:09.821169+00:00,SELL,,,,,,
7795,580430414,ETH-USD,3633.21,0.00000884,2024-12-10 19:56:53.750333+00:00,SELL,,,,,,
7796,580430337,ETH-USD,3634.16,1.3295,2024-12-10 19:56:39.963243+00:00,BUY,,,,,,
7797,580430210,ETH-USD,3634.01,0.26096719,2024-12-10 19:56:24.950924+00:00,SELL,,,,,,
7798,580430055,ETH-USD,3634.22,0.00996231,2024-12-10 19:56:09.294590+00:00,BUY,,,,,,
7799,580429902,ETH-USD,3635.06,0.00006185,2024-12-10 19:55:54.800358+00:00,SELL,,,,,,
7800,580429809,ETH-USD,3633.13,0.56357317,2024-12-10 19:55:39.897018+00:00,BUY,,,,,,
7801,580429508,ETH-USD,3630.94,0.01358254,2024-12-10 19:55:24.958137+00:00,SELL,,,,,,
7802,580429411,ETH-USD,3630.16,0.03306717,2024-12-10 19:55:09.997242+00:00,SELL,,,,,,
7803,580429325,ETH-USD,3629.08,0.53541988,2024-12-10 19:54:54.480263+00:00,SELL,,,,,,
7804,580429229,ETH-USD,3630.53,0.09485844,2024-12-10 19:54:39.145024+00:00,SELL,,,,,,
7805,580429133,ETH-USD,3627.66,0.00022082,2024-12-10 19:54:24.977712+00:00,SELL,,,,,,
7806,580429027,ETH-USD,3625.94,0.16378029,2024-12-10 19:54:09.728979+00:00,SELL,,,,,,
7807,580428930,ETH-USD,3627.74,0.12899668,2024-12-10 19:53:54.981209+00:00,SELL,,,,,,
7808,580428842,ETH-USD,3627.43,1.37839005,2024-12-10 19:53:39.846676+00:00,SELL,,,,,,
7809,580428728,ETH-USD,3625.84,0.08703705,2024-12-10 19:53:24.981014+00:00,SELL,,,,,,
7810,580428636,ETH-USD,3626.55,2.27711916,2024-12-10 19:53:09.854312+00:00,BUY,,,,,,
7811,580428537,ETH-USD,3626.33,0.00065322,2024-12-10 19:52:54.787276+00:00,SELL,,,,,,
7812,580428469,ETH-USD,3625.03,0.00026065,2024-12-10 19:52:39.965253+00:00,BUY,,,,,,
7813,580428296,ETH-USD,3623.92,0.04,2024-12-10 19:52:24.208341+00:00,BUY,,,,,,
7814,580428197,ETH-USD,3622.81,0.14076055,2024-12-10 19:52:09.789837+00:00,SELL,,,,,,
7815,580428036,ETH-USD,3622.54,0.39490408,2024-12-10 19:51:54.967456+00:00,SELL,,,,,,
7816,580427919,ETH-USD,3621.78,0.00273935,2024-12-10 19:51:39.762704+00:00,SELL,,,,,,
7817,580427802,ETH-USD,3620.35,0.045,2024-12-10 19:51:24.878345+00:00,SELL,,,,,,
7818,580427684,ETH-USD,3617.57,1.1617627,2024-12-10 19:51:09.786723+00:00,BUY,,,,,,
7819,580427591,ETH-USD,3618.01,0.001,2024-12-10 19:50:54.792866+00:00,SELL,,,,,,
7820,580427418,ETH-USD,3613.87,0.00083008,2024-12-10 19:50:39.918360+00:00,BUY,,,,,,
7821,580427317,ETH-USD,3613.88,0.00034653,2024-12-10 19:50:24.900203+00:00,BUY,,,,,,
